"images_id","truthfilepath","reconstructionfilepath","normal_generationfilepath"
"img_0","media/images/ede633ab2171f1aca3bf.png","media/images/c785de739e4ba9ad9a61.png","media/images/287908a85ff87e54d5b3.png"
"img_1","media/images/54c9ba37df050548216b.png","media/images/e396adc166daa5dfd60d.png","media/images/e69c844e54430cdd0c60.png"
"img_2","media/images/500366192c5a2db88545.png","media/images/9bdc0a726bc35f5181fb.png","media/images/716378c02cb0c838cf1a.png"
"img_3","media/images/1516b089bddbf881fb20.png","media/images/09b80be64f6b8c8f1693.png","media/images/f125913f0874ed9f24b9.png"
"img_4","media/images/eb9ad8fae402501b46ac.png","media/images/3ed3c6e8ee44cfed406e.png","media/images/5117d97adb8cfb8c5403.png"
"img_5","media/images/56ebaab46344f794ae7e.png","media/images/bb90062e80b1b581264b.png","media/images/b68ec97e0eee31fab2db.png"
"img_6","media/images/813be9bfe3886a4608d6.png","media/images/65fe639e0ad50ae64418.png","media/images/83e7f7e8b6ab8e7dd55a.png"
"img_7","media/images/23df1db81deb9e366ce8.png","media/images/c09dfb748e7bb4a860fe.png","media/images/0b4632ad95efa847b454.png"
"img_8","media/images/42654855fbda45f6c4af.png","media/images/92f6c88584df45909525.png","media/images/f2ded60fdb3cb8658921.png"
"img_9","media/images/62b11a72af83aa0f5f50.png","media/images/e00688e5631a363e968b.png","media/images/cbf1d4a794bc2c960a7c.png"
